camera,frame_name,frame_index,num_markers,num_charuco_corners,is_valid,best_preprocess
cam7,frame_000400.jpg,400,0,0,False,
cam7,frame_000401.jpg,401,0,0,False,
cam7,frame_000402.jpg,402,0,0,False,
cam7,frame_000403.jpg,403,6,3,False,equalized
cam7,frame_000404.jpg,404,0,0,False,
cam7,frame_000405.jpg,405,6,4,False,equalized
cam7,frame_000406.jpg,406,7,3,False,clahe
cam7,frame_000407.jpg,407,0,0,False,
cam7,frame_000408.jpg,408,0,0,False,
cam7,frame_000409.jpg,409,0,0,False,
cam7,frame_000410.jpg,410,0,0,False,
cam7,frame_000411.jpg,411,8,5,False,clahe
cam7,frame_000412.jpg,412,19,23,True,clahe
cam7,frame_000413.jpg,413,14,9,True,clahe
cam7,frame_000414.jpg,414,5,2,False,clahe
cam7,frame_000415.jpg,415,0,0,False,
cam7,frame_000416.jpg,416,0,0,False,
cam7,frame_000417.jpg,417,2,1,False,equalized
cam7,frame_000418.jpg,418,14,14,True,clahe
cam7,frame_000419.jpg,419,13,13,True,clahe
cam7,frame_000420.jpg,420,9,4,False,clahe
cam7,frame_000421.jpg,421,0,0,False,
cam7,frame_000422.jpg,422,0,0,False,
cam7,frame_000423.jpg,423,0,0,False,
cam7,frame_000424.jpg,424,0,0,False,
cam7,frame_000425.jpg,425,0,0,False,
cam7,frame_000426.jpg,426,0,0,False,
cam7,frame_000427.jpg,427,0,0,False,
cam7,frame_000428.jpg,428,0,0,False,
cam7,frame_000429.jpg,429,0,0,False,
cam7,frame_000430.jpg,430,0,0,False,
cam7,frame_000431.jpg,431,0,0,False,
cam7,frame_000432.jpg,432,0,0,False,
cam7,frame_000433.jpg,433,0,0,False,
cam7,frame_000434.jpg,434,0,0,False,
cam7,frame_000435.jpg,435,0,0,False,
cam7,frame_000436.jpg,436,0,0,False,
cam7,frame_000437.jpg,437,0,0,False,
cam7,frame_000438.jpg,438,0,0,False,
cam7,frame_000439.jpg,439,0,0,False,
cam7,frame_000440.jpg,440,0,0,False,
cam7,frame_000441.jpg,441,0,0,False,
cam7,frame_000442.jpg,442,0,0,False,
cam7,frame_000443.jpg,443,0,0,False,
cam7,frame_000444.jpg,444,0,0,False,
cam7,frame_000445.jpg,445,0,0,False,
cam7,frame_000446.jpg,446,0,0,False,
cam7,frame_000447.jpg,447,0,0,False,
cam7,frame_000448.jpg,448,0,0,False,
cam7,frame_000449.jpg,449,0,0,False,
cam7,frame_000450.jpg,450,0,0,False,
cam7,frame_000451.jpg,451,0,0,False,
cam7,frame_000452.jpg,452,7,6,False,clahe
cam7,frame_000453.jpg,453,10,9,True,clahe
cam7,frame_000454.jpg,454,9,10,True,clahe
cam7,frame_000455.jpg,455,0,0,False,
cam7,frame_000456.jpg,456,0,0,False,
cam7,frame_000457.jpg,457,0,0,False,
cam7,frame_000458.jpg,458,0,0,False,
cam7,frame_000459.jpg,459,0,0,False,
cam7,frame_000460.jpg,460,5,3,False,gamma_0.65
cam7,frame_000461.jpg,461,22,29,True,gamma_0.65
cam7,frame_000462.jpg,462,20,26,True,clahe
cam7,frame_000463.jpg,463,11,8,True,equalized
cam7,frame_000464.jpg,464,18,15,True,clahe
cam7,frame_000465.jpg,465,16,15,True,clahe
cam7,frame_000466.jpg,466,12,10,True,equalized
cam7,frame_000467.jpg,467,14,14,True,clahe
cam7,frame_000468.jpg,468,17,18,True,clahe
cam7,frame_000469.jpg,469,17,22,True,equalized
cam7,frame_000470.jpg,470,17,16,True,clahe
cam7,frame_000471.jpg,471,15,13,True,clahe
cam7,frame_000472.jpg,472,15,14,True,equalized
cam7,frame_000473.jpg,473,19,23,True,clahe
cam7,frame_000474.jpg,474,17,18,True,clahe
