camera,saved_frame_name,original_video_frame_index,timestamp_seconds
cam7,frame_000445.jpg,445,44.5
cam7,frame_000446.jpg,446,44.6
cam7,frame_000447.jpg,447,44.7
cam7,frame_000448.jpg,448,44.8
cam7,frame_000449.jpg,449,44.9
cam7,frame_000450.jpg,450,45.0
cam7,frame_000451.jpg,451,45.1
cam7,frame_000452.jpg,452,45.2
cam7,frame_000453.jpg,453,45.3
cam7,frame_000454.jpg,454,45.4
cam7,frame_000455.jpg,455,45.5
cam7,frame_000456.jpg,456,45.6
cam7,frame_000457.jpg,457,45.7
cam7,frame_000458.jpg,458,45.8
cam7,frame_000459.jpg,459,45.9
cam7,frame_000460.jpg,460,46.0
cam7,frame_000461.jpg,461,46.1
cam7,frame_000462.jpg,462,46.2
cam7,frame_000463.jpg,463,46.3
cam7,frame_000464.jpg,464,46.4
cam7,frame_000465.jpg,465,46.5
cam7,frame_000466.jpg,466,46.6
cam7,frame_000467.jpg,467,46.7
cam7,frame_000468.jpg,468,46.8
cam7,frame_000469.jpg,469,46.9
cam7,frame_000470.jpg,470,47.0
cam7,frame_000471.jpg,471,47.1
cam7,frame_000472.jpg,472,47.2
cam7,frame_000473.jpg,473,47.3
cam7,frame_000474.jpg,474,47.4
